번호,신분,소속,응답여부,응답일시,소속대학원,전공,세부전공,쿠카이브 기본 사항 관련 질문입니다.,어떠한 경로를 통해 쿠카이브를 처음 접했습니까?* 해당사항에 모두 표시,쿠카이브에서 이용해본 경험이 있는 영역에 모두 체크해주십시오.*해당 사항에 모두 표시,쿠카이브에서 자주 사용할(사용할 의향이 있는)것으로 예상되는 영역을 체크해주십시오.*해당사항 모두 표시,쿠카이브가 자신에게 필요하다고 생각하십니까?,쿠카이브 전반의 운영과 지원 만족도 관련 질문입니다.,쿠카이브 사용자 페이지의 전반적인 디자인과 화면은 이용하기 쉽게 구성되었다.,쿠카이브에서 제공하는 기능을 쉽게 이해하고 이용하였다.,전반적으로 쿠카이브에서는 참여자 관리와 활동 지원이 잘되고 있다.,쿠카이브 전반의 운영 및 지원과 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.,쿠카이브 서비스 안정도 관련 질문입니다.,쿠카이브 사용자 페이지에서 서비스를 이용하는 동안 서버 상태 및 웹 사이트 접속은 원활하였다.,쿠카이브에서 제공하는 기능이 원활하게 작동되었다.,쿠카이브 기능별 만족도 관련 질문입니다.,"쿠카이브 기능별 서비스(교과활동내역확인, 비교과프로그램 신청, 핵심역량진단, 통합 상담, 포트폴리오, 커뮤니티, 매뉴얼)는 전반적으로 만족스럽게 제공되고 있다",[교과 활동 내역 확인],쿠카이브에서 제공하는 “교과 활동(이수교과목 및 성적 조회 등)내역 확인”에 접속해본 경험이 있습니까?,"참여경험이 있는 경우, 쿠카이브를 통한 “교과 활동 내역(이수교과목 및 성적 조회 등)” 확인이 만족스럽게 제공되었다.",쿠카이브를 통한 “교과 활동 (이수교과목 및 성적 조회 등) 내역 확인”과 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.,[비교과 프로그램],쿠카이브에 개설된 교내 비교과 프로그램에 참여해본 경험이 있습니까?,"참여경험이 있는 경우, 쿠카이브를 통한 비교과 프로그램 정보는 쉽게 이해할 수 있다.",쿠카이브를 통한 교내 비교과 프로그램 신청이 만족스럽게 진행되었다.,쿠카이브를 통한 교내 비교과 프로그램 운영과 관리 서비스는 만족스럽게 제공되었다.,쿠카이브를 통한 비교과 프로그램과 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.,[핵심역량],쿠카이브를 통해 “핵심역량진단”에 참여해본 경험이 있습니까?,"참여경험이 있는 경우, 쿠카이브를 통한 “핵심역량진단” 참여와 결과 확인은 쉽게 확인할 수 있다.",쿠카이브를 통한 “핵심역량진단” 운영과 관리 서비스는 만족스럽게 제공되었다.,쿠카이브를 통한 “핵심역량진단”와 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.,[통합상담],쿠카이브를 통해 &#34;통합상담&#34;에 참여해본 적이 있습니까?,"쿠카이브를 통한 통합 상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담) 신청이 만족스럽게 진행되었다.","쿠카이브를 통한 통합 상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담)운영과 관리 서비스가 만족스럽게 진행되었다.","쿠카이브를 통한 통합 상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담)과 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.",[포트폴리오],"쿠카이브에서 제공하는 “포트폴리오(이력서, 자기소개서, 포트폴리오)” 기능을 사용해보신 적이 있습니까?","쿠카이브의 “포트폴리오(이력서, 자기소개서, E-포트폴리오)” 기능이 만족스럽게 제공되었다.","쿠카이브에서 제공되는 “포트폴리오(이력서, 자기소개서, 포트폴리오)” 와 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.",[커뮤니티],"쿠카이브 &#39;커뮤니티(공지사항, 자료실, Q&#38;A, 일반설문, FAQ 등)에서 제공하는 기능을 사용해보신 적이 있습니까?","쿠카이브를 통한 “커뮤니티(공지사항,자료실,Q&#38;A , 일반설문, FAQ 등)”기능이 만족스럽게 제공되었다.","쿠카이브에서 제공되는 “커뮤니티(공지사항,자료실,Q&#38;A,일반설문,FAQ 등)” 와 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.",[매뉴얼],쿠카이브 “매뉴얼” 항목탭에 접속해보신 적이 있습니까?,쿠카이브에서 제공되는 “매뉴얼”과 관련하여 건의사항이 있다면 자유롭게 기술해주십시오.,비교과과정 관련 질문입니다.,[비교과과정 기본 사항],교내 비교과 프로그램에 참여한 적이 있습니까?,평소 교내 비교과 프로그램의 정보를 어디에서 취득하고 계십니까? *해당 사항에 모두 표시,교내 비교과 프로그램에 참여할 때 가장 중요하게 생각하는 요소는 무엇입니까?,[비교과과정 만족도],우리대학은 다양한 비교과 프로그램을 개설 및 운영하고 있다,우리대학의 비교과 프로그램은 목표에 맞는 적절한 내용을 다룬다.,우리대학의 비교과 프로그램에 전반적으로 만족한다.,향후 개설되었으면 하는 교내 비교과 프로그램에는 무엇이 있습니까? 자유롭게 기술해주십시오.
225,학생(대학원),국어국문학과,응답,2023-11-27,일반대학원,국어국문학과,현대문학,,"쿠카이브 관련 행사(설명회, 이벤트 등)","증명서 발급(비교과프로그램, 법정의무교육 등)","증명서 발급(비교과프로그램, 법정의무교육 등)",보통이다.,,그렇다.,그렇다.,보통이다.,,,그렇다.,그렇다.,,그렇다.,,예 ?? &lt;문항 22&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 29&gt;로 이동,보통이다.,,,,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,예 ?? &lt;문항 41&gt;로 이동,보통이다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,아니요 ?? &lt;문항 52&gt;로 이동,기타,,,,,,
226,학생(대학원),국어국문학과,응답,2023-11-25,일반대학원,국어국문학과,국어학전공,,교내 부서의 비교과 안내문,"비교과 프로그램,증명서 발급(비교과프로그램, 법정의무교육 등)","비교과 프로그램,증명서 발급(비교과프로그램, 법정의무교육 등)",그렇다.,,보통이다.,그렇지 않다.,보통이다.,,,그렇다.,그렇다.,,그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,예 ??&lt;문항 25&gt;로 이동,보통이다.,그렇다.,그렇다.,,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,보통이다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,기타,"취미, 흥미",,그렇다.,그렇다.,그렇다.,
227,학생(대학원),국어국문학과,응답,2023-12-27,일반대학원,국어국문학과,한문학전공,,"주변인(동기, 직장동료 등),포털 공지사항","교과 활동(이수교과목 및 성적조회) 내역 확인,통합상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담)","비교과 프로그램,포트폴리오(이력서, 자기소개서, 포트폴리오)",보통이다.,,그렇다.,그렇다.,그렇다.,,,그렇다.,그렇다.,,그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,아니요 ??&lt;문항 29&gt;로 이동,그렇다.,,,,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,보통이다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,아니요 ?? &lt;문항 52&gt;로 이동,쿠카이브를 통해서,,,,,,
228,학생(대학원),보건안전융합과학과,응답,2023-12-24,일반대학원,보건안전융합과학과,환경보건안전전공,,"주변인(동기, 직장동료 등)","교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램","비교과 프로그램,핵심역량진단,통합상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담),포트폴리오(이력서, 자기소개서, 포트폴리오)",그렇다.,,그렇다.,보통이다.,그렇다.,,,매우 그렇다.,매우 그렇다.,,그렇다.,,예 ?? &lt;문항 22&gt;로 이동,그렇다.,,,예 ??&lt;문항 25&gt;로 이동,그렇다.,매우 그렇다.,매우 그렇다.,,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,보통이다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,"주변인(학과 친구, 학과 교수님 등)을 통해서","취미, 흥미,전공과의 연계성",,그렇다.,그렇다.,그렇다.,
229,학생(대학원),경영학과,응답,2023-11-26,경영대학원,경영,경영,,교내 부서의 비교과 안내문,"교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램","교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램,핵심역량진단",그렇다.,,매우 그렇다.,매우 그렇다.,그렇다.,,,매우 그렇다.,매우 그렇다.,,매우 그렇다.,,예 ?? &lt;문항 22&gt;로 이동,그렇다.,,,예 ??&lt;문항 25&gt;로 이동,매우 그렇다.,매우 그렇다.,매우 그렇다.,,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,예 ?? &lt;문항 41&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,교내 단체메일을 통해서,"전공과의 연계성,정신 건강 및 웰빙",,그렇다.,그렇다.,그렇다.,
230,학생(대학원),국어국문학과,응답,2023-12-09,일반대학원,국어국문학,고전문학,,포털 공지사항,"증명서 발급(비교과프로그램, 법정의무교육 등)","증명서 발급(비교과프로그램, 법정의무교육 등)",보통이다.,,보통이다.,보통이다.,보통이다.,,,보통이다.,보통이다.,,보통이다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,예 ??&lt;문항 25&gt;로 이동,보통이다.,보통이다.,보통이다.,,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,보통이다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,쿠카이브를 통해서,전공과의 연계성,,보통이다.,보통이다.,보통이다.,
231,학생(대학원),사회학과,응답,2023-12-09,문과대학 일반대학원,사회학과,농촌사회학,,기타,"교과 활동(이수교과목 및 성적조회) 내역 확인,포트폴리오(이력서,자기소개서,포트폴리오),증명서 발급(비교과프로그램, 법정의무교육 등)","교과 활동(이수교과목 및 성적조회) 내역 확인,포트폴리오(이력서, 자기소개서, 포트폴리오),증명서 발급(비교과프로그램, 법정의무교육 등)",그렇다.,,그렇지 않다.,보통이다.,보통이다.,학생들에게 쿠카이브가 있다는 것을 조금 더 잘 홍보해야 할 것 같다.,,그렇다.,그렇다.,,그렇다.,,예 ?? &lt;문항 22&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 29&gt;로 이동,보통이다.,,,,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,보통이다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,아니요 ?? &lt;문항 52&gt;로 이동,"각 부서/단과대학 홈페이지를 통해서,기타",,,,,,
232,학생(대학원),영어영문학과,응답,2023-12-29,일반대학원 문과대학,영어학,응용언어학,,"학교 커뮤니티(고파스, 에브리타임 등)","교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램","교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램",매우 그렇다.,,매우 그렇다.,매우 그렇다.,그렇다.,,,매우 그렇다.,매우 그렇다.,,그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,예 ??&lt;문항 25&gt;로 이동,그렇다.,매우 그렇다.,매우 그렇다.,,,아니요 ??&lt;문항 33&gt;로 이동,보통이다.,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,보통이다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,"쿠카이브를 통해서,교내 단체메일을 통해서","전공과의 연계성,경력인정(이수증)을 통한 스펙 쌓기",,그렇다.,매우 그렇다.,매우 그렇다.,
233,학생(대학원),보건안전융합과학과,응답,2023-11-28,일반대학원,보건안전융합과학과,방사선의과학전공,,"교내 부서의 비교과 안내문,쿠카이브 관련 행사(설명회, 이벤트 등)",핵심 역량 진단 검사,"핵심역량진단,커뮤니티(공지사항, 자료실, Q&#38;A 등)",그렇지 않다.,,매우 그렇다.,매우 그렇다.,보통이다.,.,,그렇다.,매우 그렇다.,,매우 그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,예 ??&lt;문항 25&gt;로 이동,매우 그렇다.,그렇다.,매우 그렇다.,.,,예 ??&lt;문항 30&gt;로 이동,매우 그렇다.,매우 그렇다.,.,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,예 ?? &lt;문항 41&gt;로 이동,매우 그렇다.,.,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,"교내 단체메일을 통해서,타 비교과 프로그램을 통해서","취미, 흥미,전공과의 연계성,정신 건강 및 웰빙",,매우 그렇다.,매우 그렇다.,매우 그렇다.,
234,학생(대학원),융합보안학과,응답,2023-11-27,정보보호대학원,융합보안학과,융합보안학과,,교내 부서의 비교과 안내문,"교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램,커뮤니티(공지사항, 자료실, Q&#38;A 등)","비교과 프로그램,커뮤니티(공지사항, 자료실, Q&#38;A 등),증명서 발급(비교과프로그램, 법정의무교육 등)",그렇다.,,매우 그렇다.,그렇다.,그렇다.,"모바일에서는 공지사항 등 확인할 때 메뉴가 잘 안보이는
것 같습니다",,그렇다.,그렇다.,,그렇다.,,예 ?? &lt;문항 22&gt;로 이동,그렇다.,포탈처럼 업데이트 상황이 조회가 되면 좋겠습니다,,예 ??&lt;문항 25&gt;로 이동,매우 그렇다.,매우 그렇다.,매우 그렇다.,강의 내용을 조금 맛보기 형태로 자료 등.. 제공되면 좋겠습니다,,아니요 ??&lt;문항 33&gt;로 이동,,그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,예 ?? &lt;문항 41&gt;로 이동,매우 그렇다.,"게시글 내에서 링크를 눌렀을 때 브라우저 연동이
잘 안되는 것 같습니다",,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,"쿠카이브를 통해서,각 부서/단과대학 홈페이지를 통해서,기타","취미, 흥미,전공과의 연계성,기타",,매우 그렇다.,매우 그렇다.,매우 그렇다.,"챗gpt 활용한 발표자료 만들기, 데이터 분석 등"
235,학생(대학원),NBIT융합전공,응답,2023-12-11,KU-KIST,NBIT 융합 전공,Biochemistry,,기타,"증명서 발급(비교과프로그램, 법정의무교육 등)","비교과 프로그램,통합상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담),증명서 발급(비교과프로그램, 법정의무교육 등)",그렇다.,,그렇다.,그렇다.,그렇다.,,,매우 그렇다.,매우 그렇다.,,매우 그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,아니요 ??&lt;문항 29&gt;로 이동,매우 그렇다.,,,,,아니요 ??&lt;문항 33&gt;로 이동,,매우 그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,매우 그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,아니요 ?? &lt;문항 52&gt;로 이동,기타,,,,,,
236,학생(대학원),NBIT융합전공,응답,2023-12-11,융합대학원,NBIT,Nanomedicine&#38; biology,,포털 공지사항,"교과 활동(이수교과목 및 성적조회) 내역 확인,증명서 발급(비교과프로그램, 법정의무교육 등)","교과 활동(이수교과목 및 성적조회) 내역 확인,통합상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담),포트폴리오(이력서, 자기소개서, 포트폴리오),커뮤니티(공지사항, 자료실, Q&#38;A 등),증명서 발급(비교과프로그램, 법정의무교육 등)",그렇다.,,그렇다.,보통이다.,매우 그렇다.,홍보가 더 잘 되었으면 좋겠습니다. 이런게 있는지도 모르는 학생들이 훨씬 많을 것 같습니다.,,보통이다.,그렇다.,,그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,아니요 ??&lt;문항 29&gt;로 이동,보통이다.,,,,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,보통이다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,아니요 ?? &lt;문항 52&gt;로 이동,"교내 단체메일을 통해서,교내 단체·동아리 참여를 통해서",,,,,,
237,학생(대학원),신소재공학과,응답,2023-11-25,공과대학원,신소재,신소재,,본 설문조사,"커뮤니티(공지사항, 자료실, Q&#38;A 등)","교과 활동(이수교과목 및 성적조회) 내역 확인,증명서 발급(비교과프로그램, 법정의무교육 등)",보통이다.,,그렇다.,그렇다.,그렇다.,없음,,매우 그렇다.,매우 그렇다.,,매우 그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,아니요 ??&lt;문항 29&gt;로 이동,보통이다.,,,,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,예 ?? &lt;문항 41&gt;로 이동,보통이다.,없음,,아니요 ??&lt;문항 45&gt;로 이동,,,,아니요 ?? &lt;문항 52&gt;로 이동,기타,,,,,,
238,학생(대학원),국어국문학과,응답,2023-12-09,일반대학원,국어국문학과,국어학,,"포털 공지사항,교내 부서의 비교과 안내문","교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램","교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램",그렇다.,,그렇다.,그렇다.,그렇다.,,,그렇다.,그렇다.,,그렇다.,,예 ?? &lt;문항 22&gt;로 이동,그렇다.,,,예 ??&lt;문항 25&gt;로 이동,그렇다.,그렇다.,그렇다.,,,아니요 ??&lt;문항 33&gt;로 이동,,그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,교내 단체메일을 통해서,"취미, 흥미,진로탐색,경력인정(이수증)을 통한 스펙 쌓기",,그렇다.,보통이다.,그렇다.,
239,학생(대학원),법학과,응답,2023-11-13,일반대학원,법학과,헌법,,포털 공지사항,"교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램,포트폴리오(이력서,자기소개서,포트폴리오),커뮤니티(공지사항, 자료실, Q&#38;A 등)","비교과 프로그램,핵심역량진단,포트폴리오(이력서, 자기소개서, 포트폴리오)",그렇다.,,보통이다.,보통이다.,그렇다.,홍보가 부족한 듯,,그렇지 않다.,보통이다.,,그렇다.,,예 ?? &lt;문항 22&gt;로 이동,그렇다.,포털을 더 자주 사용하게 됩니다,,예 ??&lt;문항 25&gt;로 이동,그렇다.,그렇다.,그렇다.,신분에 맞게 추천해줬으면 좋겠다,,아니요 ??&lt;문항 33&gt;로 이동,,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,예 ??&lt;문항 38&gt;로 이동,그렇다.,만족함,,예 ?? &lt;문항 41&gt;로 이동,그렇다.,만족함,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,교내 단체메일을 통해서,전공과의 연계성,,그렇다.,그렇다.,그렇다.,"학과별 취업안내
법학과와 같은 질적연구를 위한 논문작성법"
240,학생(대학원),교육학과,응답,2023-12-12,사범대학,교육학과,교육,,포털 공지사항,"교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램,핵심 역량 진단 검사","통합상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담),포트폴리오(이력서, 자기소개서, 포트폴리오)",그렇다.,,그렇다.,그렇다.,그렇다.,,,그렇다.,그렇다.,,그렇다.,,예 ?? &lt;문항 22&gt;로 이동,그렇다.,,,예 ??&lt;문항 25&gt;로 이동,그렇다.,그렇다.,그렇다.,,,예 ??&lt;문항 30&gt;로 이동,그렇다.,그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,예 ??&lt;문항 38&gt;로 이동,그렇다.,,,예 ?? &lt;문항 41&gt;로 이동,그렇다.,,,예 ??&lt;문항 44&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,교내 단체메일을 통해서,"진로탐색,전공과의 연계성",,그렇다.,그렇다.,보통이다.,
241,학생(대학원),국제학과,응답,2023-11-25,국제대학원,국제학과,국제개발협력,,"포털 공지사항,교내 부서의 비교과 안내문,기타","교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램","교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램,증명서 발급(비교과프로그램, 법정의무교육 등)",매우 그렇다.,,그렇다.,그렇다.,그렇다.,,,매우 그렇다.,매우 그렇다.,,그렇다.,,예 ?? &lt;문항 22&gt;로 이동,매우 그렇다.,"안내 메일 또는 공지사항의 상세페이지(포스터 형태 이미지) 또는 본문에는 이수증 발급 여부를 강조하지만, 쿠카이브에 접속하여 수강신청 후 상세내용에는 이수증 불가 등, 기준 및 표시가 일정하지 않아 혼란스러울 때가 있습니다. 어느쪽이든 다양하게 안내하는 방법은 좋으나 정보의 통일성을 엄격하게 지켰으면 좋겠습니다. 때때로 비교과 항목 참여가 실질적인 도움이 되는 경우에도 시간관리 측면에서는 고민을 하고 취사 선택하는 경우가 많기 때문입니다.",,예 ??&lt;문항 25&gt;로 이동,그렇다.,그렇다.,그렇다.,"비교과 프로그램 콘텐츠 질이 높았으면 좋겠습니다. 대학원생 참여 수업인데도(양방향 참여 문제가 아니라) 준비된 수업 내용의 질이 떨어지는 경우도 있는데, 참여후 설문조사나 이벤트(상품)로 프로그램의 부족함을 무마하는 경우가 종종 보입니다.",,아니요 ??&lt;문항 33&gt;로 이동,보통이다.,보통이다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,예 ?? &lt;문항 41&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,교내 단체메일을 통해서,"진로탐색,전공과의 연계성,경력인정(이수증)을 통한 스펙 쌓기",,보통이다.,보통이다.,보통이다.,"학부든 학과든, 아직 진로탐색및 전공탐색을 하는 경우가 있으니, 다양한 인사이트를 제시할 수 있는 전공 확장 영역의 프로그램들이 다뤄졌으면 좋겠습니다."
242,학생(대학원),NBIT융합전공,응답,2023-12-12,KU-KIST 융합대학원,NBIT융합전공,,,"교내 부서의 비교과 안내문,쿠카이브 관련 행사(설명회, 이벤트 등)","교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램","교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램,핵심역량진단,통합상담(교수면담, 심리상담, 학업코칭, 장애학생지원상담),포트폴리오(이력서, 자기소개서, 포트폴리오),커뮤니티(공지사항, 자료실, Q&#38;A 등),증명서 발급(비교과프로그램, 법정의무교육 등)",그렇다.,,보통이다.,보통이다.,보통이다.,,,그렇다.,그렇다.,,그렇다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,예 ??&lt;문항 25&gt;로 이동,보통이다.,그렇다.,그렇다.,,,아니요 ??&lt;문항 33&gt;로 이동,,그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,교내 단체메일을 통해서,"취미, 흥미,전공과의 연계성,경력인정(이수증)을 통한 스펙 쌓기",,보통이다.,그렇다.,그렇다.,
243,학생,경제학과,응답,2023-12-28,,,,,포털 공지사항,"교과 활동(이수교과목 및 성적조회) 내역 확인,비교과 프로그램,핵심 역량 진단 검사","교과 활동(이수교과목 및 성적조회) 내역 확인,증명서 발급(비교과프로그램, 법정의무교육 등)",그렇지 않다.,,그렇다.,그렇다.,보통이다.,,,보통이다.,보통이다.,,보통이다.,,예 ?? &lt;문항 22&gt;로 이동,그렇다.,,,예 ??&lt;문항 25&gt;로 이동,그렇다.,그렇다.,그렇다.,,,예 ??&lt;문항 30&gt;로 이동,그렇다.,그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,예 ?? &lt;문항 41&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,"쿠카이브를 통해서,각 부서/단과대학 홈페이지를 통해서,교내 단체메일을 통해서","취미, 흥미,진로탐색,전공과의 연계성",,보통이다.,그렇다.,보통이다.,
244,학생,노어노문학과,응답,2023-11-17,,,,,"학교 커뮤니티(고파스, 에브리타임 등)",교과 활동(이수교과목 및 성적조회) 내역 확인,교과 활동(이수교과목 및 성적조회) 내역 확인,보통이다.,,그렇지 않다.,그렇지 않다.,보통이다.,.,,보통이다.,보통이다.,,보통이다.,,아니요 ??&lt;문항 24&gt;로 이동,,,,아니요 ??&lt;문항 29&gt;로 이동,그렇지 않다.,,,,,아니요 ??&lt;문항 33&gt;로 이동,,그렇다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,아니요 ??&lt;문항 43&gt;로 이동,그렇지 않다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,아니요 ?? &lt;문항 52&gt;로 이동,쿠카이브를 통해서,,,,,,
245,학생,신소재공학부,응답,2023-12-20,,,,,포털 공지사항,비교과 프로그램,비교과 프로그램,보통이다.,,보통이다.,그렇다.,그렇다.,,,그렇다.,그렇다.,,보통이다.,,예 ?? &lt;문항 22&gt;로 이동,보통이다.,,,예 ??&lt;문항 25&gt;로 이동,보통이다.,그렇다.,보통이다.,,,예 ??&lt;문항 30&gt;로 이동,매우 그렇다.,그렇지 않다.,,,아니요 ??&lt;문항 37&gt;로 이동,,,,,아니요 ??&lt;문항 40&gt;로 이동,,,,예 ?? &lt;문항 41&gt;로 이동,그렇다.,,,아니요 ??&lt;문항 45&gt;로 이동,,,,예 ?? &lt;문항 46&gt;로 이동,"쿠카이브를 통해서,타 비교과 프로그램을 통해서",전공과의 연계성,,보통이다.,보통이다.,그렇다.,
