School,1Q scoring,2Q scoring,3Q scoring,4Q scoring,EX scoring,Total scoring,MIN,M(2P),A(2P),%(2P),M(3P),A(3P),%(3P),FG%,M(FT),A(FT),&(FT),DK,S(FB),F(FB),OR(rebounds),DR(rebounds),TOT(rebounds),AS,ST,GD,BS,W(PF),WO(PF),TOT(PF),FD,TO,TF,WIN
,17,22,14,19,0,72,200,22,49,45,6,22,27,39,10,12,83,0,5,3,16,24,40,19,12,0,3,8,9,17,17,9,0,1
Y,13,9,12,30,0,64,200,18,42,43,6,27,22,35,10,12,83,1,5,2,15,42,57,16,4,1,6,5,7,12,18,12,0,1
,13,10,8,11,0,42,200,15,49,31,3,25,12,24,3,9,33,0,8,3,12,23,35,14,9,0,5,6,12,18,12,10,0,0
,24,31,34,29,0,118,200,30,47,64,14,31,45,56,16,20,80,1,15,2,11,37,48,31,14,0,4,7,12,19,17,12,0,1
,17,17,18,20,0,72,200,16,39,41,11,44,25,33,7,14,50,0,2,2,17,20,37,16,7,2,1,11,6,17,19,16,1,0
K,20,19,33,24,0,96,200,31,48,65,5,17,29,55,19,22,86,0,13,2,11,26,37,19,9,2,1,6,9,15,20,7,0,1
,13,8,19,15,0,55,200,18,36,50,4,20,20,39,7,11,64,0,3,1,6,16,22,12,3,0,2,12,8,20,15,16,0,0
Y,31,25,22,22,0,100,200,27,40,68,14,25,56,63,4,5,80,1,6,2,8,34,42,29,7,0,4,11,6,17,13,16,0,1
,21,13,10,30,0,74,200,17,41,41,9,23,39,41,13,20,65,0,5,3,4,16,20,18,9,0,2,3,10,13,17,9,0,0
,17,12,11,19,0,59,200,20,46,43,3,17,18,37,10,13,77,0,6,2,6,27,33,13,11,0,6,9,12,21,17,15,0,0
,16,20,17,17,0,70,200,21,47,45,5,27,19,35,13,17,76,0,4,1,18,29,47,17,7,3,1,8,9,17,21,12,2,1
,21,29,20,20,0,90,200,26,56,46,11,25,44,46,5,6,83,0,12,2,16,21,37,26,13,1,2,10,8,18,12,11,0,1
,14,25,22,20,0,81,200,20,40,50,9,24,38,45,14,18,78,0,6,1,13,25,38,20,8,1,3,4,8,12,18,18,0,0
,22,25,17,14,0,78,200,26,47,55,5,27,19,42,11,11,100,0,6,5,16,26,42,17,11,2,0,8,14,22,12,12,0,1
,7,10,13,23,0,53,200,12,24,50,7,24,29,40,8,16,20,0,5,1,7,22,29,16,5,3,0,6,6,12,22,19,0,0
,16,18,11,9,0,54,200,13,36,36,6,29,21,29,10,16,63,0,1,0,17,14,31,10,4,0,2,6,10,18,21,11,0,0
K,22,14,17,23,0,76,200,29,47,62,4,19,21,50,6,9,67,1,10,2,13,27,40,25,7,0,3,10,11,21,16,10,0,1
,13,8,15,33,0,69,200,22,48,46,7,27,26,39,4,10,40,0,8,2,13,15,28,19,9,1,3,12,5,17,15,9,0,0
,23,22,26,31,0,102,200,34,54,63,8,17,47,59,10,18,56,1,4,2,18,34,52,22,6,0,4,6,9,15,17,13,0,1
,9,8,21,19,0,57,200,10,9,26,10,28,36,30,7,14,50,0,3,4,15,20,35,14,7,2,3,8,14,22,21,6,0,0
Y,14,15,17,18,0,64,200,15,41,37,7,24,29,34,13,16,81,0,5,3,16,27,43,16,2,0,7,8,13,21,22,12,0,1
,29,25,19,19,0,92,200,16,35,46,17,39,44,45,9,22,41,1,4,3,22,25,47,29,4,1,6,12,8,20,23,14,0,1
,17,19,25,28,0,89,200,22,49,45,9,22,41,44,18,25,72,0,2,2,12,22,34,26,8,1,4,12,11,23,20,6,0,0
,15,17,12,21,0,65,200,15,35,43,10,29,34,39,5,6,83,0,6,1,11,23,34,16,14,1,6,9,11,20,15,17,0,1
